links,name,location,review rate,review,location review,cleanliness review,service review,value review,LANGUAGES SPOKEN,style,description,image-src,
20. Nuweiba Lodge,Nuweiba Lodge,"Tarabeen Bay, Nuweiba Egypt",4.5,Excellent,4,4.5,5,4.5,null,null,null,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/08/4d/0b/nuweiba-lodge.jpg?w=100&h=-1&s=1,
19. Sayadeen Village,Sayadeen Village,"Sayadeen Village Road El Mezina Bay, Nuweiba Egypt",4,Very good,4.2,3.8,4.2,4.2,null,null,null,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/6c/a9/dd/the-accommodation-good.jpg?w=100&h=-1&s=1,
18. RockSea,RockSea,"7 Nuweiba Taba Road, Nuweiba 069 Egypt",5,Excellent,4.8,4.7,4.7,4.7,null,null,"Imagine one of the most magnificent desert landscapes Mother Earth can offer, where sandy coloured mountains fall directly into the deep blue sea, where the warm winds caress soul and skin, where every evening the setting sun inflames a spectacular for the senses; this is the place where we offer you and us the biggest luxury one has to give: silence, simplicity and a life-time in front of the shimmering scenery of the elements.  Crashing of the waves beneath a panoply of stars.  Here, luxury has a different spelling.  The accommodation is equipped with everything essential for living. Not more. Comfortable beds, furniture made from palm branches, electricity for light.  Nothing disturbs the perception of the essential: starry sky, desert wind and the crashing of the sea.  Desert ships and coral reefs. When – if necessary at all – using the faux-pas word ""active holidays,"" here it gets a different meaning: may it be simple (simply) relaxing in unspoiled nature, walking or jeep safaris, snorkeling, reef-diving, belly dancing or camel riding –  the German owners help their guests to obtain the well-being you have been dreaming of..... The healthy savoury cooking of the managing lady surely contributes to this. You will find 22 robust bungalows covered with straw, clean sanitary equipment and a characteristic wild private coral beach which nestle in the natural rock surroundings made only by the hands of God. This resort, under the management of German emigrates, appeals to (approaches) all travelers who simply want to fully enjoy the breathtaking beauty of the Sinai.  There is something that can easily be left behind: the word ""duty."" Arabian calmness (equanimity) rules the resort. Only one thing cannot be avoided: A laid-back chat with bedouines passing by, accompanied by a sweetened tea on a soft cushion in a tent.  The best period for visiting the RockSea resort runs from late summer to late middle European spring. Workshops (seminars) and experiences in the dome. A big tent in form of a dome offers rest and space for teams and groups who want to freshen (up) their stay through seminars (workshops) or other common experiences at the foot of the Sinai. Whether it be dance, yoga, lectures, meditation or role-playing – it is you who decides.  Simply speak to the management of the resort in time to make sure that the equipment and media meet your expectations.  The RockSea Resort at the foot of the Sinai – far away from the busy Egyptian spas  - represents on oasis for travelers who want to relax with all senses - away from the hustle of crowded pools and animations.  Here, close to Nuweiba, Ricarda, Roxy and Michael from Germany are living their dream and want to share it with their guests.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/4c/82/49/rocksea.jpg?w=100&h=-1&s=1,
17. Sawa Camp,Sawa Camp,"Nuweiba  Taba Road, Nuweiba 46618 Egypt",5,Excellent,4.7,4.8,4.8,4.8,null,null,"This is a beach camp. We have simple wooden huts on the beach. You will be provided with a mattress, and mosquito net. Blankets are available upon request.  We are located on the shores of the beautiful Red Sea. Access to the coral reefs is from in front of our  beach huts. We have snorkeling equipment for hire and we can organise scuba diving trips for you also. We organise day trips to St Katherine/ Mt Sinai,Dahab, Israel, Jordan and Desert safaris.We can organise pick ups from Sharm el Sheikh, Taba border, Nuweiba port and help with transport from anywhere in Egypt.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/c2/2b/e4/sawa-camp.jpg?w=100&h=-1&s=1,
16. Bedouin Star Ras Shitan,Bedouin Star Ras Shitan,"Ras Shaitan Nuweiba Taba Road, Nuweiba Egypt",4,Very good,4.1,4.1,4,4.3,"English, Arabic, Hebrew",Quaint,Ras Shitan camp Deluxe bungalow with Aircondition and private bathroom - Standard bungalow - Husha enjoy our swimming pool Welcome at Bedouin Star | ras shitan | Nuweiba ?????? Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/6f/da/a5/bedouin-star.jpg?w=100&h=-1&s=1,
15. Swisscare Nuweiba Resort Hotel,Swisscare Nuweiba Resort Hotel,"5 The Corniche, Nuweiba 46618 Egypt",4.5,Excellent,4.5,4.6,4.8,4.6,"English, Arabic",Mountain View,"Set on its own private sandy beach between the majestic mountains of Sinai and the sparkling clear coral-filled seas of the Gulf of Aqaba, the Swisscare Nuweiba Resort Hotel has been specifically designed for those guests seeking clean and comfortable accommodation with excellent food and drinks in an astoundingly beautiful, peaceful and relaxing environment.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/33/9e/73/swisscare-nuweiba-resort.jpg?w=100&h=-1&s=1,
14. Basata Eco Lodge,Basata Eco Lodge,"Nuweiba Taba Road, Nuweiba Egypt",4.5,Excellent,4.4,4.2,3.9,4.1,"English, Arabic, German",null,"The first Ecolodge of its kind in Egypt. Established by Sherif El-Ghamrawy in 1986, Basata preserves in many different ways the environment and supports the local community. Its concept and design are reflected in its name that means simplicity in Arabic. The Lodge attempts to create a simple and unique form of tourism that has a relatively low impact on the surrounding environment and native inhabitants.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/56/b5/7c/basata.jpg?w=200&h=-1&s=1,
13. Misho Camp,Misho Camp,"Km 15 Road Nuweiba Taba International Next To The Sonesta Beach Resort Hotel Taba, Nuweiba 46618 Egypt",5,Excellent,4.8,4.8,5,4.9,null,null,"misho and his extended family invite you to their tranquil beach side camp in southern sinai. with a backdrop of the soaring malha mountains, the red Sea and the ever changing vista of the mountains of saudi arabia, misho camp is a beautiful location for a unique holiday.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/a5/35/d7/misho-camp.jpg?w=200&h=-1&s=1,
12. Safari Beach Resort,Safari Beach Resort,"Dolphin Bay, Nuweiba Egypt",4,Very good,4.6,3.3,3.9,4.2,null,null,null,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/1a/20/db/safari-beach-resort.jpg?w=100&h=-1&s=1,
11. Cinderella Camp Nuweiba,Cinderella Camp Nuweiba,"Small Dune, Nuweiba 44844 Egypt",5,Excellent,null,null,null,null,null,null,null,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/20/e6/b1/f9/logo.jpg?w=100&h=-1&s=1,
10. Bab Eldonia Camp,Bab Eldonia Camp,"Kilo 25 Nuwieba Tabs road, Nuweiba 49925 Egypt",5,Excellent,null,null,null,null,null,null,null,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/ba/63/44/bab-eldonia-camp.jpg?w=100&h=-1&s=1,
9. Ciao Nuweiba Hotel,Ciao Nuweiba Hotel,"Dune Beach Nuweiba Town, Nuweiba 12 Egypt",4,Very good,3.8,3.5,4.4,4.2,null,Quiet,"Ciao Nuweiba Hotel is situated on the Dunes Beach along the Red Sea, 3 kilometres south of Nuweiba town and 4 km north of Nuweiba Port. The hotel by its peculiar location offers a great site of the majestic mountains of Sinai, a direct access into a coral-filled area of the red sea, and a perfect place to enjoy sun baths on the soft sand dunes at the hotel's private beach. Elegantly furnished air conditioned rooms.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/a1/8d/0b/photo0jpg.jpg?w=100&h=-1&s=1,
8. Dayra Camp,Dayra Camp,"Nuweiba road, Nuweiba 46618 Egypt",4.5,Excellent,4.6,4.4,4.3,4.3,null,null,"Dayra camp is home for responsible travelers & backpackers who seek inner peace, social interaction, those who are willing to help themselves with love. Rooms are straw huts and Egyptian cotton tents with shared toilets",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/cf/93/21/our-comfy-huts-bungalow.jpg?w=200&h=-1&s=1,
7. Al Magarra Camp,Al Magarra Camp,"Taba-Nuweba Road Next to La Playa Hotel Taba, Nuweiba 46618 Egypt",5,Excellent,4.9,4.9,4.9,4.6,Arabic,null,null,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/89/16/dc/al-magarra-camp.jpg?w=100&h=-1&s=1,
6. New Moon Island Camp,New Moon Island Camp,"Nuweiba-Taba road Ras Shitan, Nuweiba Egypt",4.5,Excellent,4.8,4.3,4.6,4.6,"English, French, Italian",null,"Location: From the finest spot of the Sinai Peninsula lies the idealistic ""Moon Island"", bringing you one of the most scenic, quiet and secluded beaches of Egypt to keep you relaxed and help you unwind Accommodation: 30 sea view bungalows giving the natural look that blends with the surrounding, making sure you would enjoy the best of camping in a comfortable and convenient ambiance. Restaurant: “Moon Island” offers a rich selection of local and international food. You can either enjoy your meal at your bungalow’s private patio or at our open-air restaurant. Share the banquet experience with your friends and loved ones amidst the enormous mountains and relaxing sea shore Attraction: Diving/ Snorkelling Hiking Safari trips Rooms & Facilities: Rooms are equipped with power outlets Rooms have private balconies with sea view Pick-up and transfer services Drinking ice cubes Heated showers Pet friendly.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/88/2c/49/photo7jpg.jpg?w=200&h=-1&s=1,
5. Mermaid Camp,Mermaid Camp,Nuweiba 46618 Egypt,5,Excellent,5,5,5,null,null,null,null,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/ad/3f/2a/caption.jpg?w=100&h=-1&s=1,
4. Nakhil Inn,Nakhil Inn,"Jasmine street Tarabeen Bay, Nuweiba 46618 Egypt",5,Excellent,4.7,4.4,4.7,4.7,"English, Arabic",Charming,"Staying in rooms right on the beach at the Red Sea , snorkeling at our beach , beautiful reef , Diving at Nuweiba diving sites , mountain trekking, jeep safaris to the national park of Abu Galoum and the blue lagouna , camel trips are all available with Nakhil Inn and Dream",null,
3. Habiba Beach Lodge,Habiba Beach Lodge,"Newabaa St Habiba Bay, Nuweiba 46618 Egypt",4.5,Excellent,4.4,3.9,4.4,4.3,"English, French, Arabic, Italian",Romantic,"Situated on a sandy beach overlooking Habiba Bay, this hotel features an open-air restaurant. It offers free Wi-Fi in public areas and air-conditioned rooms.Rooms at Habiba Village have simple furnishings and traditional décor. Each room has it's own private bathroom with a shower.Guests can relax on the beach and enjoy grilled seafood, and meals from our organic farm (fresh everyday) and views of the Red Sea. The indoor restaurant serves breakfast and European cuisine.Habiba Village is a 3-minute drive from the coastal town Nuweiba and is 64 km from Taba International Airport. Free private parking is possible on site. Leisure activities include camel rides, hiking, snorkeling, diving, mountain climbing and tours in a glass-bottom boat.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1e/fc/75/7a/habiba-beach-lodge.jpg?w=100&h=-1&s=1,
2. TIME Coral Nuweiba Resort,TIME Coral Nuweiba Resort,"Nuweiba Street 1.40 Miles From Downtown, Nuweiba 46625 Egypt",4,Very good,4,4.4,4.4,4.2,"English, Russian, Arabic, German",null,"Overlooking the beautiful Gulf of Aqaba, this 4-star resort features luscious gardens of flowers and palms and an extended private sandy beach on the Red Sea. The resort has 5 restaurants and 2 bars. It offers rooms with balconies or patios. Wired internet is available in all the rooms and has a beach volleyball of TIME Coral Nuweiba Resort. Guests can also relax in a hammock on the beach, or sunbathe by the pool. Risottos and fresh salads are served at the contemporary Blue Blue Restaurant. The beach bar offers ice-cold beers and ice cream under the shade of a palm-roofed hut. There is also a disco serving light snacks until midnight. And a kids playground to let the little angels have some fun in a safe environment.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/49/d6/47/pool-and-restaurant.jpg?w=100&h=-1&s=1,
1. Nuweiba Club Resort,Nuweiba Club Resort,"Villages Road Gulf of Aqaba, Nuweiba 46625 Egypt",4.5,Excellent,4.7,3,4.1,4.5,"English, Arabic",null,"Nuweiba Club Resort is Located in the coastal town in the eastern part of Sinai Peninsula, Nuweiba Club Resort is uniquely positioned on the coast of the Gulf of Aqaba, offering unforgettable view of Aqaba Gulf and the Sinai Mountains. Just 75 km north of Dahab, the hotel is spread on a large piece of land, and is strategically located in close proximity to the Nuweiba Harbor, as well as being a ten-minute walk from the Tarabin Bedouin Village. The hotel is also situated 80 km from Taba Airport, a two-hour drive from the Sharm El Sheikh Airport, and just 60 km south of the Israel-Egypt border separating Taba and Eilat, making it accessible to tourists from all over the region.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/40/3e/54/nuweiba-club-resort.jpg?w=200&h=-1&s=1,
60. Kum Kum Camp,Kum Kum Camp,"Taba Road, Nuweiba Egypt",5,Excellent,5,null,5,null,Arabic,null,null,null,
59. Castle Beach Sinai,Castle Beach Sinai,"Wadi Malha, Nuweiba Egypt",3.5,Very good,3.8,3.7,3.8,null,null,null,null,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/3b/17/89/castle-beach-sinai.jpg?w=200&h=-1&s=1,
58. Half Moon Camp,Half Moon Camp,"Taba-Nwueibaa Road, Beer Suer, K35 35, Nuweiba 46621 Egypt",5,Excellent,null,null,null,null,null,null,null,null,
57. Free Beach Camp,Free Beach Camp,"Beer Sweir, Nuweiba Egypt",5,Excellent,5,null,5,null,null,null,"Free Beach Camp provides accommodations with a private beach area and free WiFi, and is located in Nuweiba`. Guests at the campground can enjoy a continental breakfast. Free Beach Camp has a sun terrace. Eilat is 48.3 km from the accommodation. This property also has one of the top-rated locations in Nuweiba‘ el Muzeinah! Guests are happier about it compared to other properties in the area.",null,
56. Rossa Beach Camp,Rossa Beach Camp,"Nuweiba - Taba Road, Nuweiba Egypt",4,Very good,3,3,3.3,3.7,null,null,"Situated right on the shore of the Red Sea, Rossa Beach Camp offers an authentic, simple, non expensive way to spend your holiday all year around away from the crowd. Snorkel, scuba dive, kite surf, go for excursions or just relax. Rossa Beach Camp provides lodging literally on the beach in truly authentic Bedouin style, delicious fresh food and tidy shared bathrooms. Rossa Beach Camp is driven by Egyptian, Swedish and Italian people.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/23/38/b3/great-location-amazing.jpg?w=200&h=-1&s=1,
55. Fayrouza Village,Fayrouza Village,null,4.5,Excellent,5,3,5,null,null,null,null,null,
54. City Beach Nuweiba,City Beach Nuweiba,"Al Orouba Steet, Nuweiba 46622 Egypt",5,Excellent,null,null,null,null,Arabic,null,null,null,
53. Jazzy Camp,Jazzy Camp,"Taba Nuweiba Road 5 km Before Nuweiba City, Nuweiba 12345 Egypt",4,Very good,4.6,4.2,3.8,4.9,"English, Arabic",null,"Jazzy Camp is located in the heart of Sinai, It's a Bedouin Beach Camp and lodge. Helping you to bind with mother nature in an unforgettable way.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/45/b7/27/bossa-nova-camp.jpg?w=200&h=-1&s=1,
52. Sondos Camp,Sondos Camp,"Nuweibaa - Taba Rd, Nuweiba 46618 Egypt",3.5,Very good,1,1,1,null,null,null,null,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/a5/09/a3/caption.jpg?w=100&h=-1&s=1,
51. Barracuda Camp,Barracuda Camp,null,4.5,Excellent,4.4,4.5,4.3,4.1,null,null,"Barracuda camp is set 5km outside Nuweiba, on the Taba Road, South Sinai. Situated directly on the beach, the small bungalows are built from wood and palm leaves which are positioned around the camp. The shower and toilet facilities are of very good standard. Barracuda camp consists of a very good restaurant which has an expansive menu from Egyptian food to English;(watch them make the Bedouin bread, have a go yourself, we will let you), also fresh fish can be served daily (mainly caught by the neighboring fisherman or even by the family or staff), anything that you require we will be only too pleased to try and accommodate. From the beach there are two reefs which are excellent for snorkeling, where you can see a variety of colourful fish and coral. If you feel a little nervous, no problems someone will snorkel with you. The camp is owned by a friendly family man, named Sulman who speaks very good English, also there is an English lady that is based at the camp who will be only too pleased to help with anything. Barracuda is a peaceful quiet camp ideal to relax in. The scenic view of the mountains behind and looking across the red sea is a beautiful site to take in.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/93/56/09/sandy-beach.jpg?w=100&h=-1&s=1,
50. Antika Beach Camp Nuweiba,Antika Beach Camp Nuweiba,"35 km Nuweiba-Taba Road, Nuweiba Egypt",4.5,Excellent,4,null,4,null,Arabic,null,null,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/fd/f3/c0/antika-beach-camp-nuweiba.jpg?w=200&h=-1&s=1,
49. Sinai Life Beach Camp,Sinai Life Beach Camp,"11km Nuweiba - Taba Road Ras Shattan, Nuweiba Egypt",5,Excellent,null,null,null,null,null,null,null,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/de/2d/86/sinai-life-beach-camp.jpg?w=100&h=-1&s=1,
48. Little Head Camp - Ras Sheetan,Little Head Camp - Ras Sheetan,"Nuweiba-taba Road, Nuweiba Egypt",4.5,Excellent,5,4,5,5,"English, Arabic, Hebrew",null,null,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/ff/44/9d/this-is-little-head-camp.jpg?w=100&h=-1&s=1,
47. Bawaki Beach Camp,Bawaki Beach Camp,"Km.18 North Of Nuweiba, Nuweiba Egypt",3.5,Very good,4.7,3.3,3.9,3.8,null,null,null,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/1c/24/2d/20180812-150935-largejpg.jpg?w=100&h=-1&s=1,
46. La Siren,La Siren,Nuweiba Egypt,4,Very good,4.7,3.8,4.3,4.2,Arabic,null,null,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/dc/49/fd/caption.jpg?w=200&h=-1&s=1,
45. Happy Camp,Happy Camp,null,4.5,Excellent,null,null,null,null,null,null,null,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/9b/54/19/happy-camp.jpg?w=100&h=-1&s=1,
44. Droub Camp,Droub Camp,Nuweiba Egypt,4,Very good,4.5,4,5,null,null,null,null,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/a8/3b/bd/droub-camp.jpg?w=100&h=-1&s=1,
43. Big Dune Camp,Big Dune Camp,"Newabaa St, Nuweiba Egypt",4.5,Excellent,5,4,null,null,Arabic,null,null,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/23/c8/3e/photo3jpg.jpg?w=100&h=-1&s=1,
42. Freedom Camp,Freedom Camp,"Nuweiba Taba Road, Nuweiba Egypt",4.5,Excellent,null,null,null,null,Arabic,null,null,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/78/3b/21/freedom-camp.jpg?w=200&h=-1&s=1,
41. Utopia Camp,Utopia Camp,Nuweiba 12345 Egypt,4.5,Excellent,5,4,5,4,null,null,"Straw huts by the beach (2 guests maximum), Cotton tents (2 guests maximum) and Concrete rooms (4 guests maximum)",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/92/83/42/sea-view.jpg?w=200&h=-1&s=1,
40. Ananda Camp,Ananda Camp,"Nueiba-Taba Road 22 Kms North Nueiba, Nuweiba Egypt",4,Very good,4.6,4.3,4.3,3.8,null,null,null,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/46/44/f1/ananda-camp.jpg?w=100&h=-1&s=1,
39. Makati Camp,Makati Camp,"South Sinai, Nuweiba Taba international road - Route 50M/Route 55M, Nuweiba 46618 Egypt",4.5,Excellent,5,1,3,null,null,null,"Makati camp (soon to be MERAKI camp) is a beach camp on the coastline of Sinai, Egypt, with wooden huts to sleep in, just few meters from the sea. Life here is simple and very much in contact with nature. Warm yourself in the Sinai sun, looking out over the mountains, with your bare feet in the sand, taking refreshing dips in the sea, while breathing in the ocean air. Our camp is more a community than a tourist attraction, and what our guests tell us is that they feel immediately at home. The land is very powerful with strong healing energy, taking away from us all that we don’t need to carry anymore. Be welcome to stay with us a while to relax, connect and heal.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/1a/39/0b/makati-camp.jpg?w=100&h=-1&s=1,
38. Fayrouz Beach Resort,Fayrouz Beach Resort,"Duna, Nuweiba Nuweiba, South Sinai, Egypt, Nuweiba Egypt",4.5,Excellent,4.5,3.5,4.7,5,"English, Russian, Hebrew",null,"Fayrouz Beach Resort is between the port and the town of Nuweiba. It is in a quiet peaceful location with a large sandy beach and coral reef for snorkeling. Swimming is safe and boat trips are available. The rooms are en-suite with balconies, twin or double beds. There are also some economical beach huts for rent. The restaurant serves fresh fish, Egyptian & vegetarian dishes. Next door there is a Yoga Studio with a massage room. You can arrange classes and well-being treatments. The friendly staff at Fayrouz can arrange airport transfers and safaris by camel or jeep. Their moto is that if their guests are happy, they are happy.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/ba/dc/90/fayrouz-beach-camp.jpg?w=200&h=-1&s=1,
37. Sahara Beach Camp,Sahara Beach Camp,Nuweiba Egypt,4.5,Excellent,5,4,4.8,4.4,null,null,null,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/2f/29/2c/sahara-beach-camp.jpg?w=100&h=-1&s=1,
36. Casa Del Mare Resort,Casa Del Mare Resort,null,4.5,Excellent,3,3.5,3,null,null,null,null,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/df/15/5c/casa-del-mare-resort.jpg?w=200&h=-1&s=1,
35. Ayla Camp,Ayla Camp,"Nuweiba St., Nuweiba 12345 Egypt",5,Excellent,5,4.7,5,null,Arabic,null,"Ayla Camp, an upscale beach camp set on the sandy beaches of South Sanai where we have strived to make our customers experience an unforgettable one. Our sandy beach and the unique setup of our Huts and tents with a breathtaking sea and Mountain View, in addition to the variety of amenities and up scaled quality of service all guarantee to make our customers stay unforgettable memory.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/a8/2e/2e/ayla-camp.jpg?w=100&h=-1&s=1,
34. Aqua Sun Hotel,Aqua Sun Hotel,"Km 35, Taba Nuweibaa Rd., Nuweiba Egypt",4.5,Excellent,4.8,4.3,5,4,null,null,"Facing the Red Sea with beautiful coral reefs, ringed by the red mountains. Surrounded by the peaceful serenity of the desert. AQUA SUN IS A STATE OF MIND",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/73/5e/2c/aqua-sun-club.jpg?w=100&h=-1&s=1,
33. Starlight Camp,Starlight Camp,"Dune Beach, Nuweiba 46618 Egypt",5,Excellent,5,5,null,null,"English, Arabic, Hebrew",null,Starlight Camp Nuweiba is your second home. We offer two type of accommodation (Bungalow* AC & Khosha* Fan) as well Restaurant football playground & Volleyball Swings & Hammock Bedouin Seats Shared bathrooms Open kitchen & bar Snorkeling & Diving & Trips,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/3b/7f/d1/main-logo-of-starlight.jpg?w=100&h=-1&s=1,
32. Live the Bedouin Life,Live the Bedouin Life,"Nueiba, Nuweiba Egypt",5,Excellent,5,5,null,null,"English, Arabic, Dutch, Hebrew",null,"Livethebedouinlife Camp is completely self-sufficient, the electricity comes from solar panels and the water for the showers and toilets comes from a basin that is topped up from outside. The showers and toilets are shared. A warm solar shower is also available (to a limited extent). Everything is clean and well maintained. You are literally and figuratively “off the grid” here..! WiFi is available, that is, but also to a limited extent. Water shoes and snorkels are provided. There is a Sup-Board with which you can easily sup to the most beautiful pieces of coral without damaging the coral. Behind the camp is a ""colored canyon"" where you can take beautiful walks. All rooms are located directly on the beach and all have sea view. The rooms cost 300 Egyptian pounds (16.76 Euro) per night per person incl. breakfast. Trips such as watching the sunset from a mountain in the desert, Wishwash or other activities or overnight stays in the desert can be organized here on site. Transfer from and to the airport can be organized on request for an additional cost, depending on which airport needs to be picked up or dropped off.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/96/a1/b6/a-magic-place.jpg?w=100&h=-1&s=1,
31. Maagana Camp Nuweiba,Maagana Camp Nuweiba,null,4.5,Excellent,4.7,4.5,4.3,5,null,null,null,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/2e/66/91/maagana-camp-nuweiba.jpg?w=100&h=-1&s=1,
90. Mondial,Mondial,null,null,null,null,null,null,null,null,null,null,null,
89. Bakraj 3,Bakraj 3,null,null,null,null,null,null,null,null,null,"Sheikh Ashish's Bakraj 3 (established in 1982) is a Bedouin eco-lodge located on the coast of the Gulf of Aqaba 5 km north of Nuweiba, South Sinai, Egypt. It is nestled between the majestic mountains of Sinai and the Red Sea, with spectacular views of Saudi Arabia. Visit the most hospitable site in South Sinai and experience culture and nature at their best. Beach hut accommodation - restaurant (seafood and local) - diving - fishing - safaris - outdoor adventures",null,
